frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label,anomaly_prediction
1.4e-05,0.000293,105,10.5.126.151,10.5.126.84,35151,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:64:35:62:61:38:63:38:37:61:32:32:63:34:38:36:65:39:31:33:66:33:64:66,37,512,0x00001141,d5ba8c87a22c486e913f3df,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
1.4e-05,0.000322,105,10.5.126.153,10.5.126.84,35089,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:38:62:37:63:35:38:39:34:61:32:65:35:34:63:64:65:39:37:64:36:35:65:35,37,512,0x00001143,8b7c5894a2e54cde97d65e5,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
1.6e-05,0.000648,105,10.5.126.137,10.5.126.84,33045,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:64:62:30:32:66:30:61:39:64:38:62:62:34:61:33:65:62:64:64:31:32:38:64,37,512,0x00001133,db02f0a9d8bb4a3ebdd128d,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
0.002224,0.002969,105,10.5.126.154,10.5.126.84,43673,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:32:39:37:32:35:39:31:34:61:36:64:39:34:63:64:32:39:38:30:38:38:32:35,37,512,0x00001144,29725914a6d94cd29808825,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
0.000329,0.003421,105,10.5.126.131,10.5.126.84,41505,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:37:31:32:61:35:34:62:65:32:63:33:34:34:65:39:35:38:32:39:35:64:66:37,37,512,0x0000112d,712a54be2c344e958295df7,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
0.000214,0.00369,105,10.5.126.152,10.5.126.84,40605,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:37:30:32:34:66:37:37:62:35:35:61:36:34:65:64:38:62:34:30:33:64:33:64,37,512,0x00001142,7024f77b55a64ed8b403d3d,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
7.7e-05,0.00028,105,10.5.150.153,10.5.150.109,40787,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:65:65:36:63:66:32:32:32:64:38:65:33:34:30:66:62:38:61:64:33:35:65:64,37,512,0x0000415c,ee6cf222d8e340fb8ad35ed,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
2.8e-05,0.000413,105,10.5.150.157,10.5.150.109,44853,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:31:37:35:65:34:64:61:36:62:65:66:33:34:35:33:37:61:38:33:36:38:39:32,37,512,0x00004160,175e4da6bef34537a836892,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
2.7e-05,0.000523,105,10.5.150.154,10.5.150.109,38551,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:64:31:30:65:61:66:39:38:35:65:36:38:34:32:66:36:39:37:37:63:36:61:66,37,512,0x0000415d,d10eaf985e6842f6977c6af,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
2.7e-05,0.000577,105,10.5.150.156,10.5.150.109,37361,1883,0x00000018,0.0,37,1,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:36:63:64:38:32:63:36:34:66:66:38:61:34:30:65:63:38:37:32:30:38:34:39,37,512,0x0000415f,6cd82c64ff8a40ec8720849,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0x00000002,0.0,0x00000010,60.0,35,0.0,1,0.0,0.0,0,0.0,4.0,0.0,6,64,environmentMonitoring,0,-1
