frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label,anomaly_prediction
3.5e-05,48.82543,1579,10.5.126.132,10.5.126.84,34215,1883,0x00000018,3.004562,180,5,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:31:36:39,12,9384,0x00001115,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,169.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
4.5e-05,243.820165,908,10.5.126.156,10.5.126.84,37003,1883,0x00000018,3.00014,225,337,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:02:8e:30,12,512,0x0000112d,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.8e-05,318.825014,614,10.5.126.84,10.5.126.136,1883,34429,0x00000018,1.8e-05,4,1332,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:03:55,4,2777,0x00001111_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.6e-05,387.819459,1174,10.5.126.156,10.5.126.84,38481,1883,0x00000018,2.998523,110,533,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:04:10:30,12,5834,0x0000112d,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.7e-05,534.820947,1443,10.5.126.152,10.5.126.84,40605,1883,0x00000018,3.000455,12,21,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:34:34:39,12,512,0x00001129_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,449.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.3e-05,540.319483,361,10.5.126.84,10.5.126.133,1883,46179,0x00000018,0.001388,18,1618,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,d0:00,2,7475,0x0000110c,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x000000d0,0.0,0,0.0,13,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.9e-05,665.824392,640,10.5.126.135,10.5.126.84,38619,1883,0x00000018,5.001945,277,27,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0e:00:08:53:6f:6c:61:72:52:61:64:31:39:38:30,16,512,0x0000111c,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,14,1980.0,3,0.0,0.0,SolarRad,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.5e-05,681.821017,538,10.5.126.84,10.5.126.156,1883,38481,0x00000018,2.5e-05,4,2796,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:07:20,4,8541,0x00001125,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.4e-05,720.819988,72,10.5.126.84,10.5.126.157,1883,39989,0x00000018,1.4e-05,4,2713,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:07:84,4,5529,0x00001126_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
8.7e-05,730.820886,85,10.5.126.151,10.5.126.84,35151,1883,0x00000018,5.001417,266,29,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:33,17,5672,0x0000112d_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,23.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
